DateTime,Open,High,Low,Close,HL
2006-04-20 02:26:00,16754,16762,16752,16758,Day Low
2006-04-20 07:52:00,16950,16956,16945,16951,Day High
2006-04-21 02:21:00,16810,16822,16808,16822,Day Low
2006-04-21 03:14:00,16973,16991,16973,16991,Day High
2006-04-21 03:15:00,16989,16991,16982,16989,Day High
2006-04-21 03:16:00,16982,16991,16982,16986,Day High
2006-04-24 02:00:00,16944,16944,16895,16914,Day High
2006-04-24 07:39:00,16693,16698,16681,16681,Day Low
2006-04-25 02:03:00,16738,16749,16734,16741,Day High
2006-04-25 07:45:00,16559,16563,16546,16548,Day Low
2006-04-26 03:04:00,16539,16541,16539,16539,Day Low
2006-04-26 03:05:00,16539,16543,16539,16543,Day Low
2006-04-26 07:03:00,16735,16739,16730,16730,Day High
2006-04-27 02:00:00,16690,16756,16690,16736,Day Low
2006-04-27 06:49:00,16824,16838,16822,16838,Day High
2006-04-27 06:50:00,16834,16838,16821,16821,Day High
2006-04-28 02:06:00,16436,16436,16427,16434,Day Low
2006-04-28 07:53:00,16660,16683,16660,16665,Day High
2006-05-02 02:00:00,16723,16770,16708,16767,Day Low
2006-05-02 02:06:00,16883,16898,16880,16893,Day High
2006-05-03 04:01:00,16979,16981,16970,16981,Day Low
2006-05-03 07:17:00,17074,17102,17074,17086,Day High
2006-05-04 02:00:00,17009,17009,16969,16983,Day Low
2006-05-04 02:54:00,17077,17077,17074,17074,Day High
2006-05-08 02:00:00,17083,17241,17083,17241,Day Low
2006-05-08 07:21:00,17324,17337,17317,17337,Day High
2006-05-09 02:00:00,17339,17339,17228,17228,Day High
2006-05-09 07:59:00,17133,17151,17121,17132,Day Low
2006-05-10 02:06:00,17237,17240,17233,17236,Day High
2006-05-10 04:29:00,17036,17036,17018,17025,Day Low
2006-05-11 02:11:00,17020,17021,17004,17012,Day Low
2006-05-11 04:28:00,17182,17185,17180,17180,Day High
2006-05-11 04:29:00,17182,17185,17182,17185,Day High
2006-05-12 02:00:00,17073,17073,16898,16903,Day High
2006-05-12 07:57:00,16907,16909,16881,16900,Day Low
2006-05-15 02:00:00,16851,16851,16653,16659,Day High
2006-05-15 07:57:00,16458,16473,16447,16465,Day Low
2006-05-16 02:00:00,16443,16443,16380,16400,Day High
2006-05-16 06:40:00,16251,16255,16242,16255,Day Low
2006-05-17 03:57:00,16420,16430,16420,16430,Day Low
2006-05-17 07:56:00,16614,16629,16607,16617,Day High
2006-05-17 07:57:00,16609,16629,16609,16615,Day High
2006-05-18 02:00:00,16495,16504,16181,16189,Day High
